"nom","couleur","feuillet","recto_verso","nbColonnes","support","enluminures","initialeEnlum","rinceauxEnlum","pmarks","boutsdeligne","filigrannes","cadelures","InitialesPeintes","initialesEmanchees","initialesRehaussees","forme","reclame","notum","Remarques"
"Fr_1563","true",1,"r",1,"papier","false",,,"false","false","false","false","false","false","false","liste","false",,"Mss classés dans ce tableau par taille du fichier décroissante"
"Fr_1563","true",2,"r",2,"papier","true",,,"false","false","false","false","true","false","false","vers","false",,
"Fr_1563","true",7,"v",2,"papier","true",,,"false","false","false","false","false","false","false","vers","false",,
"Fr_1563","true",12,"v",2,"papier","false",,,"false","false","false","false","true","false","false","vers","false",,
"Fr_1563","true",21,"v",2,"papier","true",,,"false","false","false","false","true","false","false","vers","false",,
"Fr_1563","true",27,"r",2,"papier","true",,,"false","false","false","false","true","false","false","vers","false",,
"Fr_1563","true",37,"v",2,"papier","false",,,"false","false","false","false","false","false","false","vers","false",,
"Fr_1563","true",109,"r",2,"papier","false",,,"false","false","false","false","false","false","false","vers","false",,
"Fr_1563","true",141,"r",2,"papier","true",,,"false","false","false","false","true","false","false","vers","false",,
"Fr_1563","true",146,"r",1,"papier","false",,,"false","false","false","false","false","false","false","vers","false",,
"Fr_1563","true",147,"v",1,"papier","false",,,"false","false","false","false","false","false","false","prose","false",,
"Fr_1563","true",149,"r",1,"papier","false",,,"false","false","false","false","true","false","false","vers","false",,
"Fr_1563","true",154,"v",1,"papier","false",,,"false","false","false","false","true","false","false","vers","false",,
"Fr_1563","true",176,"r","NA","papier","false",,,"false","false","false","false","false","false","false","prose","false",,
"Fr_1563","true",178,"r",2,"papier","false",,,"false","false","false","false","false","false","false","prose","false",,
"Fr_1563","true",180,"r",2,"papier","false",,,"false","false","false","false","true","false","true","prose","false",,
"Fr_1563","true",183,"r",2,"papier","false",,,"false","false","false","false","false","false","true","prose","false",,
"Fr_1563","true",203,"r",2,"papier","false",,,"true","false","false","false","true","false","true","vers","false",,
"Fr_1563","true",211,"v",2,"papier","false",,,"true","false","false","false","false","false","false","vers","false",,
"Fr_2063","true",1,"r",2,"parch","true",,,"false","true","true","false","true","false","false","prose","false",,
"Fr_2063","true",2,"v",2,"parch","false",,,"false","false","true","false","true","false","false","prose","false",,
"Fr_2063","true",3,"v",2,"parch","true",,,"false","false","false","false","true","false","true","prose","false",,
"Fr_2063","true",8,"r",2,"parch","false",,,"false","true","false","false","true","false","true","prose","false",,
"Fr_2063","true",8,"v",2,"parch","false",,,"true","false","false","false","false","false","true","prose","true",,
